Company,Location,Position,Link,Resume Path
Dexian India,"Pune, Maharashtra, India",Software Engineer (Python & React),https://in.linkedin.com/jobs/view/software-engineer-python-react-at-dexian-india-4273061347?position=21&pageNum=0&refId=X5mxesijinZ7v4lG73gcBQ%3D%3D&trackingId=czJAqnN5l4o1NFFrbJ7Y6w%3D%3D,E:\study\GitHub\RESUME-BUILDER-WITH-AI\Resumes\software-engineer-python-react-at-dexian-india-4273061347.pdf
Weekday AI (YC W21),India,Data Analyst / Data Scientist,https://in.linkedin.com/jobs/view/data-analyst-data-scientist-at-weekday-ai-yc-w21-4264836804?position=22&pageNum=0&refId=X5mxesijinZ7v4lG73gcBQ%3D%3D&trackingId=ker9DSA6SmFb4RW3TZdQCQ%3D%3D,E:\study\GitHub\RESUME-BUILDER-WITH-AI\Resumes\data-analyst-data-scientist-at-weekday-ai-yc-w21-4264836804.pdf
OneFin,India,Python Developer,https://in.linkedin.com/jobs/view/python-developer-at-onefin-4257193441?position=23&pageNum=0&refId=X5mxesijinZ7v4lG73gcBQ%3D%3D&trackingId=8FWiDvPIgirBvoEsUF%2BIrA%3D%3D,E:\study\GitHub\RESUME-BUILDER-WITH-AI\Resumes\python-developer-at-onefin-4257193441.pdf
Ascendeum,India,Executive Data Scientist,https://in.linkedin.com/jobs/view/executive-data-scientist-at-ascendeum-4273408579?position=24&pageNum=0&refId=X5mxesijinZ7v4lG73gcBQ%3D%3D&trackingId=FpSJXmlv8mk%2FDvvXqda9IQ%3D%3D,E:\study\GitHub\RESUME-BUILDER-WITH-AI\Resumes\executive-data-scientist-at-ascendeum-4273408579.pdf
People Prime Worldwide,India,Python Developer,https://in.linkedin.com/jobs/view/python-developer-at-people-prime-worldwide-4272821999?position=25&pageNum=0&refId=X5mxesijinZ7v4lG73gcBQ%3D%3D&trackingId=%2BANv8y4byT5MmeGTvclFCg%3D%3D,E:\study\GitHub\RESUME-BUILDER-WITH-AI\Resumes\python-developer-at-people-prime-worldwide-4272821999.pdf
WixJob,India,Applied AI Engineer (India-Remote),https://in.linkedin.com/jobs/view/applied-ai-engineer-india-remote-at-wixjob-4270060681?position=26&pageNum=0&refId=X5mxesijinZ7v4lG73gcBQ%3D%3D&trackingId=eOu8wSD2sd2Rl3aHR1TjSg%3D%3D,E:\study\GitHub\RESUME-BUILDER-WITH-AI\Resumes\applied-ai-engineer-india-remote-at-wixjob-4270060681.pdf
Ascendeum,India,Machine Learning Researcher,https://in.linkedin.com/jobs/view/machine-learning-researcher-at-ascendeum-4273411453?position=27&pageNum=0&refId=X5mxesijinZ7v4lG73gcBQ%3D%3D&trackingId=LmZwG1fqwdl%2BR97%2FQ1TnnQ%3D%3D,E:\study\GitHub\RESUME-BUILDER-WITH-AI\Resumes\machine-learning-researcher-at-ascendeum-4273411453.pdf
Dexian India,India,Python React Developer,https://in.linkedin.com/jobs/view/python-react-developer-at-dexian-india-4272828738?position=28&pageNum=0&refId=X5mxesijinZ7v4lG73gcBQ%3D%3D&trackingId=dC9CfHaY5ZgOjoOwUFHdyA%3D%3D,E:\study\GitHub\RESUME-BUILDER-WITH-AI\Resumes\python-react-developer-at-dexian-india-4272828738.pdf
Altraize,India,Python Full Stack Developer,https://in.linkedin.com/jobs/view/python-full-stack-developer-at-altraize-4177184412?position=29&pageNum=0&refId=X5mxesijinZ7v4lG73gcBQ%3D%3D&trackingId=LH6wtWu1DRm%2BmYCfBeg6tw%3D%3D,E:\study\GitHub\RESUME-BUILDER-WITH-AI\Resumes\python-full-stack-developer-at-altraize-4177184412.pdf
Braintrust,India,Front End Developers - AI Training [Remote],https://in.linkedin.com/jobs/view/front-end-developers-ai-training-remote-at-braintrust-4220208768?position=30&pageNum=0&refId=X5mxesijinZ7v4lG73gcBQ%3D%3D&trackingId=S%2FIjr3Vv5CkgL5ojkcFj9Q%3D%3D,E:\study\GitHub\RESUME-BUILDER-WITH-AI\Resumes\front-end-developers-ai-training-remote-at-braintrust-4220208768.pdf
Motive,India,"Software Engineer, Machine Learning",https://in.linkedin.com/jobs/view/software-engineer-machine-learning-at-motive-4264402019?position=31&pageNum=0&refId=X5mxesijinZ7v4lG73gcBQ%3D%3D&trackingId=ljEeL7SqD2R%2FpK8eFBjcGQ%3D%3D,E:\study\GitHub\RESUME-BUILDER-WITH-AI\Resumes\software-engineer-machine-learning-at-motive-4264402019.pdf
Motive,India,Software Engineer - Machine Learning,https://in.linkedin.com/jobs/view/software-engineer-machine-learning-at-motive-4268347933?position=32&pageNum=0&refId=X5mxesijinZ7v4lG73gcBQ%3D%3D&trackingId=hpF5ov3WODj9fv05%2B1xabA%3D%3D,E:\study\GitHub\RESUME-BUILDER-WITH-AI\Resumes\software-engineer-machine-learning-at-motive-4268347933.pdf
Awign,"Bangalore North Rural, Karnataka, India",Python Fullstack Developer,https://in.linkedin.com/jobs/view/python-fullstack-developer-at-awign-4271810088?position=33&pageNum=0&refId=X5mxesijinZ7v4lG73gcBQ%3D%3D&trackingId=2khJMbi2KjaJ3DZs78Vk1Q%3D%3D,E:\study\GitHub\RESUME-BUILDER-WITH-AI\Resumes\python-fullstack-developer-at-awign-4271810088.pdf
BayInfotech,India,AI Growth Hacker – SMB Client Acquisition,https://in.linkedin.com/jobs/view/ai-growth-hacker-%E2%80%93-smb-client-acquisition-at-bayinfotech-4277224294?position=34&pageNum=0&refId=X5mxesijinZ7v4lG73gcBQ%3D%3D&trackingId=nhfvzRIMJHphZ%2FklvBq3Kw%3D%3D,E:\study\GitHub\RESUME-BUILDER-WITH-AI\Resumes\ai-growth-hacker-%E2%80%93-smb-client-acquisition-at-bayinfotech-4277224294.pdf
goML,India,Senior Machine Learning Engineer,https://in.linkedin.com/jobs/view/senior-machine-learning-engineer-at-goml-4273601599?position=35&pageNum=0&refId=X5mxesijinZ7v4lG73gcBQ%3D%3D&trackingId=6fo8HffdUIBrh17mEiiLxw%3D%3D,E:\study\GitHub\RESUME-BUILDER-WITH-AI\Resumes\senior-machine-learning-engineer-at-goml-4273601599.pdf
AGCO Corporation,"Pune, Maharashtra, India",Data Scientist I,https://in.linkedin.com/jobs/view/data-scientist-i-at-agco-corporation-4205966935?position=36&pageNum=0&refId=X5mxesijinZ7v4lG73gcBQ%3D%3D&trackingId=wwA9emZh2gi5%2FJBrQhZe3w%3D%3D,E:\study\GitHub\RESUME-BUILDER-WITH-AI\Resumes\data-scientist-i-at-agco-corporation-4205966935.pdf
Recro,"Noida, Uttar Pradesh, India",Quality Assurance Automation Engineer,https://in.linkedin.com/jobs/view/quality-assurance-automation-engineer-at-recro-4263348668?position=37&pageNum=0&refId=X5mxesijinZ7v4lG73gcBQ%3D%3D&trackingId=0wDRY33bh8LaUK8pVVEo%2BA%3D%3D,E:\study\GitHub\RESUME-BUILDER-WITH-AI\Resumes\quality-assurance-automation-engineer-at-recro-4263348668.pdf
Braintrust,India,Swift Coders - AI Training [Remote],https://in.linkedin.com/jobs/view/swift-coders-ai-training-remote-at-braintrust-4233232867?position=38&pageNum=0&refId=X5mxesijinZ7v4lG73gcBQ%3D%3D&trackingId=7UCHedH8oDZvZ0XpzXj58w%3D%3D,E:\study\GitHub\RESUME-BUILDER-WITH-AI\Resumes\swift-coders-ai-training-remote-at-braintrust-4233232867.pdf
Weekday AI (YC W21),"Bengaluru, Karnataka, India",Backend Developer (Java & Python),https://in.linkedin.com/jobs/view/backend-developer-java-python-at-weekday-ai-yc-w21-4276678579?position=39&pageNum=0&refId=X5mxesijinZ7v4lG73gcBQ%3D%3D&trackingId=aSgxa%2BeK1i%2FlcyHQZq2IQA%3D%3D,E:\study\GitHub\RESUME-BUILDER-WITH-AI\Resumes\backend-developer-java-python-at-weekday-ai-yc-w21-4276678579.pdf
Braintrust,India,Swift Coders - AI Training [Remote] (Hindi Speakers Encouraged),https://in.linkedin.com/jobs/view/swift-coders-ai-training-remote-hindi-speakers-encouraged-at-braintrust-4233242911?position=40&pageNum=0&refId=X5mxesijinZ7v4lG73gcBQ%3D%3D&trackingId=2NTBdjbc7719hScMvzVSDg%3D%3D,E:\study\GitHub\RESUME-BUILDER-WITH-AI\Resumes\swift-coders-ai-training-remote-hindi-speakers-encouraged-at-braintrust-4233242911.pdf
Checkmate,India,Senior Python Software Engineer (Voice AI),https://in.linkedin.com/jobs/view/senior-python-software-engineer-voice-ai-at-checkmate-4267059360?position=41&pageNum=0&refId=X5mxesijinZ7v4lG73gcBQ%3D%3D&trackingId=4RNeBAndYxa6H7ZT1Yq%2BmQ%3D%3D,E:\study\GitHub\RESUME-BUILDER-WITH-AI\Resumes\senior-python-software-engineer-voice-ai-at-checkmate-4267059360.pdf
